customer_id,product_id,product_name,total_units,total_revenue,total_orders
C0009,P016,Radiator RD-250,118,1203600,12
C0009,P017,Fan Belt FB-30,88,45760,7
C0009,P018,Wheel Rim WR-24,103,1163900,6
C0009,P019,Swing Motor SWM-350,17,676600,2
C0009,P020,Pivot Pin PP-12,64,73600,5
C0009,P021,Boom Cylinder BC-400,95,4389000,5
C0009,P022,Control Valve CV-75,99,1673100,6
C0009,P023,Idler Wheel IW-55,85,1100750,5
C0009,P024,Track Roller TR-60,130,1339000,9
C0009,P025,Cabin Glass CG-20,123,965550,9
C0009,P026,Grease Cartridge GC-5,63,19530,4
C0009,P027,O-Ring Set OR-50,16,7680,5
C0009,P028,Light Assembly LA-18,80,180000,6
C0009,P029,Pressure Sensor PS-90,98,387100,8
C0009,P030,Fuel Pump FP-350,88,1927200,8
C0010,P001,Hydraulic Pump HP-300,36,882000,2
C0010,P002,Engine Oil Filter OF-90,133,95760,8
C0010,P003,Air Filter AF-120,140,175000,11
C0010,P004,Track Chain TC-45,79,3144200,7
C0010,P005,Fuel Injector FI-220,38,321100,4
C0010,P006,Alternator ALT-500,83,929600,7
C0010,P007,Hydraulic Hose HH-60,85,123250,8
C0010,P008,Bucket Tooth BT-10,148,85840,10
C0010,P009,Starter Motor SM-700,91,1355900,10
C0010,P010,Turbocharger TB-900,156,5444400,13
C0010,P011,Hydraulic Cylinder HC-200,74,2042400,7
C0010,P012,Brake Pad BP-40,107,262150,8
C0010,P013,Seal Kit SK-15,172,249400,13
C0010,P014,Transmission Assembly TA-800,98,8183000,10
C0010,P015,Engine Block EB-600,37,4403000,3
C0010,P016,Radiator RD-250,92,938400,8
C0010,P017,Fan Belt FB-30,120,62400,11
C0010,P018,Wheel Rim WR-24,146,1649800,9
C0010,P019,Swing Motor SWM-350,186,7402800,14
C0010,P020,Pivot Pin PP-12,70,80500,5
C0010,P021,Boom Cylinder BC-400,190,8778000,16
C0010,P022,Control Valve CV-75,127,2146300,11
C0010,P023,Idler Wheel IW-55,74,958300,9
C0010,P024,Track Roller TR-60,115,1184500,10
C0010,P025,Cabin Glass CG-20,146,1146100,13
C0010,P026,Grease Cartridge GC-5,108,33480,12
C0010,P027,O-Ring Set OR-50,126,60480,7
C0010,P028,Light Assembly LA-18,107,240750,9
C0010,P029,Pressure Sensor PS-90,90,355500,7
C0010,P030,Fuel Pump FP-350,81,1773900,7
C0011,P001,Hydraulic Pump HP-300,59,1445500,6
C0011,P002,Engine Oil Filter OF-90,34,24480,3
C0011,P003,Air Filter AF-120,87,108750,9
C0011,P004,Track Chain TC-45,134,5333200,8
C0011,P005,Fuel Injector FI-220,97,819650,9
C0011,P006,Alternator ALT-500,52,582400,6
C0011,P007,Hydraulic Hose HH-60,140,203000,12
C0011,P008,Bucket Tooth BT-10,187,108460,12
C0011,P009,Starter Motor SM-700,155,2309500,11
C0011,P010,Turbocharger TB-900,87,3036300,6
C0011,P011,Hydraulic Cylinder HC-200,162,4471200,12
C0011,P012,Brake Pad BP-40,75,183750,8
C0011,P013,Seal Kit SK-15,57,82650,7
C0011,P014,Transmission Assembly TA-800,18,1503000,2
C0011,P015,Engine Block EB-600,82,9758000,9
C0011,P016,Radiator RD-250,119,1213800,10
C0011,P017,Fan Belt FB-30,81,42120,6
C0011,P018,Wheel Rim WR-24,82,926600,7
C0011,P019,Swing Motor SWM-350,64,2547200,6
C0011,P020,Pivot Pin PP-12,79,90850,7
C0011,P021,Boom Cylinder BC-400,83,3834600,9
C0011,P022,Control Valve CV-75,71,1199900,8
C0011,P023,Idler Wheel IW-55,49,634550,5
C0011,P024,Track Roller TR-60,94,968200,11
C0011,P025,Cabin Glass CG-20,86,675100,7
C0011,P026,Grease Cartridge GC-5,40,12400,4
C0011,P027,O-Ring Set OR-50,120,57600,9
C0011,P028,Light Assembly LA-18,140,315000,10
C0011,P029,Pressure Sensor PS-90,87,343650,9
C0011,P030,Fuel Pump FP-350,96,2102400,8
C0012,P001,Hydraulic Pump HP-300,53,1298500,5
C0012,P002,Engine Oil Filter OF-90,53,38160,4
C0012,P003,Air Filter AF-120,58,72500,6
C0012,P004,Track Chain TC-45,69,2746200,5
C0012,P005,Fuel Injector FI-220,81,684450,7
C0012,P006,Alternator ALT-500,42,470400,6
C0012,P007,Hydraulic Hose HH-60,76,110200,8
C0012,P008,Bucket Tooth BT-10,44,25520,5
C0012,P009,Starter Motor SM-700,102,1519800,7
C0012,P010,Turbocharger TB-900,74,2582600,6
C0012,P011,Hydraulic Cylinder HC-200,90,2484000,6
C0012,P012,Brake Pad BP-40,28,68600,3
C0012,P013,Seal Kit SK-15,92,133400,9
C0012,P014,Transmission Assembly TA-800,107,8934500,6
C0012,P015,Engine Block EB-600,77,9163000,6
C0012,P016,Radiator RD-250,37,377400,3
C0012,P017,Fan Belt FB-30,48,24960,7
C0012,P018,Wheel Rim WR-24,64,723200,8
C0012,P019,Swing Motor SWM-350,47,1870600,6
C0012,P020,Pivot Pin PP-12,73,83950,5
C0012,P021,Boom Cylinder BC-400,99,4573800,7
C0012,P022,Control Valve CV-75,87,1470300,7
C0012,P023,Idler Wheel IW-55,42,543900,5
C0012,P024,Track Roller TR-60,46,473800,4
C0012,P025,Cabin Glass CG-20,38,298300,5
C0012,P026,Grease Cartridge GC-5,126,39060,10
C0012,P027,O-Ring Set OR-50,80,38400,5
C0012,P028,Light Assembly LA-18,43,96750,3
C0012,P029,Pressure Sensor PS-90,48,189600,5
C0012,P030,Fuel Pump FP-350,77,1686300,7
C0013,P001,Hydraulic Pump HP-300,92,2254000,8
C0013,P002,Engine Oil Filter OF-90,146,105120,11
C0013,P003,Air Filter AF-120,169,211250,14
C0013,P004,Track Chain TC-45,161,6407800,13
C0013,P005,Fuel Injector FI-220,127,1073150,10
C0013,P006,Alternator ALT-500,189,2116800,12
C0013,P007,Hydraulic Hose HH-60,177,256650,15
C0013,P008,Bucket Tooth BT-10,97,56260,8
C0013,P009,Starter Motor SM-700,47,700300,5
C0013,P010,Turbocharger TB-900,92,3210800,7
C0013,P011,Hydraulic Cylinder HC-200,108,2980800,8
C0013,P012,Brake Pad BP-40,123,301350,8
C0013,P013,Seal Kit SK-15,98,142100,9
C0013,P014,Transmission Assembly TA-800,137,11439500,12
C0013,P015,Engine Block EB-600,117,13923000,9
C0013,P016,Radiator RD-250,163,1662600,14
C0013,P017,Fan Belt FB-30,108,56160,10
C0013,P018,Wheel Rim WR-24,110,1243000,11
C0013,P019,Swing Motor SWM-350,109,4338200,12
C0013,P020,Pivot Pin PP-12,78,89700,8
C0013,P021,Boom Cylinder BC-400,76,3511200,9
C0013,P022,Control Valve CV-75,88,1487200,9
C0013,P023,Idler Wheel IW-55,89,1152550,11
C0013,P024,Track Roller TR-60,112,1153600,10
C0013,P025,Cabin Glass CG-20,80,628000,7
C0013,P026,Grease Cartridge GC-5,147,45570,15
C0013,P027,O-Ring Set OR-50,77,36960,7
C0013,P028,Light Assembly LA-18,186,418500,12
C0013,P029,Pressure Sensor PS-90,156,616200,13
C0013,P030,Fuel Pump FP-350,126,2759400,10
C0014,P001,Hydraulic Pump HP-300,40,980000,3
C0014,P002,Engine Oil Filter OF-90,76,54720,5
C0014,P003,Air Filter AF-120,77,96250,8
C0014,P004,Track Chain TC-45,65,2587000,7
C0014,P005,Fuel Injector FI-220,70,591500,6
C0014,P006,Alternator ALT-500,47,526400,4
C0014,P007,Hydraulic Hose HH-60,107,155150,8
C0014,P008,Bucket Tooth BT-10,75,43500,6
C0014,P009,Starter Motor SM-700,56,834400,3
C0014,P010,Turbocharger TB-900,24,837600,3
C0014,P011,Hydraulic Cylinder HC-200,109,3008400,8
C0014,P012,Brake Pad BP-40,29,71050,3
C0014,P013,Seal Kit SK-15,89,129050,6
C0014,P014,Transmission Assembly TA-800,92,7682000,6
C0014,P015,Engine Block EB-600,117,13923000,9
C0014,P016,Radiator RD-250,38,387600,4
C0014,P017,Fan Belt FB-30,46,23920,3
C0014,P018,Wheel Rim WR-24,127,1435100,7
C0014,P019,Swing Motor SWM-350,60,2388000,6
C0014,P020,Pivot Pin PP-12,53,60950,6
C0014,P021,Boom Cylinder BC-400,51,2356200,5
C0014,P022,Control Valve CV-75,64,1081600,6
C0014,P023,Idler Wheel IW-55,55,712250,6
C0014,P024,Track Roller TR-60,41,422300,3
C0014,P025,Cabin Glass CG-20,126,989100,7
C0014,P026,Grease Cartridge GC-5,47,14570,4
C0014,P027,O-Ring Set OR-50,52,24960,5
C0014,P028,Light Assembly LA-18,78,175500,9
C0014,P029,Pressure Sensor PS-90,74,292300,5
C0014,P030,Fuel Pump FP-350,69,1511100,6
C0015,P001,Hydraulic Pump HP-300,103,2523500,9
C0015,P002,Engine Oil Filter OF-90,93,66960,10
C0015,P003,Air Filter AF-120,51,63750,6
C0015,P004,Track Chain TC-45,64,2547200,7
C0015,P005,Fuel Injector FI-220,103,870350,6
C0015,P006,Alternator ALT-500,105,1176000,8
C0015,P007,Hydraulic Hose HH-60,121,175450,11
C0015,P008,Bucket Tooth BT-10,76,44080,5
C0015,P009,Starter Motor SM-700,113,1683700,13
C0015,P010,Turbocharger TB-900,33,1151700,3
C0015,P011,Hydraulic Cylinder HC-200,85,2346000,7
C0015,P012,Brake Pad BP-40,49,120050,5
C0015,P013,Seal Kit SK-15,123,178350,10
C0015,P014,Transmission Assembly TA-800,89,7431500,8
C0015,P015,Engine Block EB-600,106,12614000,7
C0015,P016,Radiator RD-250,76,775200,7
C0015,P017,Fan Belt FB-30,110,57200,10
C0015,P018,Wheel Rim WR-24,36,406800,3
C0015,P019,Swing Motor SWM-350,78,3104400,8
C0015,P020,Pivot Pin PP-12,36,41400,3
C0015,P021,Boom Cylinder BC-400,143,6606600,11
C0015,P022,Control Valve CV-75,104,1757600,10
C0015,P023,Idler Wheel IW-55,112,1450400,9
C0015,P024,Track Roller TR-60,72,741600,6
C0015,P025,Cabin Glass CG-20,172,1350200,12
C0015,P026,Grease Cartridge GC-5,53,16430,10
C0015,P027,O-Ring Set OR-50,51,24480,4
C0015,P028,Light Assembly LA-18,127,285750,13
C0015,P029,Pressure Sensor PS-90,87,343650,8
C0015,P030,Fuel Pump FP-350,48,1051200,4
C0016,P001,Hydraulic Pump HP-300,92,2254000,7
C0016,P002,Engine Oil Filter OF-90,45,32400,7
C0016,P003,Air Filter AF-120,74,92500,6
C0016,P004,Track Chain TC-45,137,5452600,10
C0016,P005,Fuel Injector FI-220,157,1326650,12
C0016,P006,Alternator ALT-500,83,929600,10
C0016,P007,Hydraulic Hose HH-60,142,205900,9
C0016,P008,Bucket Tooth BT-10,81,46980,7
C0016,P009,Starter Motor SM-700,115,1713500,9
C0016,P010,Turbocharger TB-900,122,4257800,8
C0016,P011,Hydraulic Cylinder HC-200,94,2594400,12
C0016,P012,Brake Pad BP-40,140,343000,10
C0016,P013,Seal Kit SK-15,77,111650,6
C0016,P014,Transmission Assembly TA-800,83,6930500,6
C0016,P015,Engine Block EB-600,118,14042000,6
C0016,P016,Radiator RD-250,129,1315800,11
C0016,P017,Fan Belt FB-30,23,11960,3
C0016,P018,Wheel Rim WR-24,86,971800,6
C0016,P019,Swing Motor SWM-350,110,4378000,7
C0016,P020,Pivot Pin PP-12,92,105800,9
C0016,P021,Boom Cylinder BC-400,107,4943400,8
C0016,P022,Control Valve CV-75,120,2028000,10
C0016,P023,Idler Wheel IW-55,97,1256150,8
C0016,P024,Track Roller TR-60,121,1246300,11
C0016,P025,Cabin Glass CG-20,52,408200,6
C0016,P026,Grease Cartridge GC-5,89,27590,10
C0016,P027,O-Ring Set OR-50,79,37920,8
C0016,P028,Light Assembly LA-18,120,270000,10
C0016,P029,Pressure Sensor PS-90,126,497700,10
C0016,P030,Fuel Pump FP-350,140,3066000,9
C0017,P001,Hydraulic Pump HP-300,207,5071500,16
C0017,P002,Engine Oil Filter OF-90,63,45360,4
C0017,P003,Air Filter AF-120,91,113750,9
C0017,P004,Track Chain TC-45,60,2388000,6
C0017,P005,Fuel Injector FI-220,120,1014000,10
C0017,P006,Alternator ALT-500,54,604800,6
C0017,P007,Hydraulic Hose HH-60,79,114550,7
C0017,P008,Bucket Tooth BT-10,67,38860,6
C0017,P009,Starter Motor SM-700,91,1355900,11
C0017,P010,Turbocharger TB-900,76,2652400,6
C0017,P011,Hydraulic Cylinder HC-200,160,4416000,15
C0017,P012,Brake Pad BP-40,88,215600,9
C0017,P013,Seal Kit SK-15,63,91350,7
C0017,P014,Transmission Assembly TA-800,145,12107500,9
C0017,P015,Engine Block EB-600,26,3094000,4
C0017,P016,Radiator RD-250,72,734400,8
C0017,P017,Fan Belt FB-30,114,59280,9
C0017,P018,Wheel Rim WR-24,24,271200,3
C0017,P019,Swing Motor SWM-350,78,3104400,6
C0017,P020,Pivot Pin PP-12,49,56350,5
C0017,P021,Boom Cylinder BC-400,57,2633400,4
C0017,P022,Control Valve CV-75,63,1064700,6
C0017,P023,Idler Wheel IW-55,77,997150,7
C0017,P024,Track Roller TR-60,105,1081500,8
C0017,P025,Cabin Glass CG-20,64,502400,7
C0017,P026,Grease Cartridge GC-5,55,17050,6
C0017,P027,O-Ring Set OR-50,100,48000,11
C0017,P028,Light Assembly LA-18,50,112500,5
C0017,P029,Pressure Sensor PS-90,63,248850,6
C0017,P030,Fuel Pump FP-350,108,2365200,8
C0018,P001,Hydraulic Pump HP-300,72,1764000,6
C0018,P002,Engine Oil Filter OF-90,80,57600,6
C0018,P003,Air Filter AF-120,130,162500,10
C0018,P004,Track Chain TC-45,132,5253600,11
C0018,P005,Fuel Injector FI-220,84,709800,6
C0018,P006,Alternator ALT-500,34,380800,4
C0018,P007,Hydraulic Hose HH-60,107,155150,9
C0018,P008,Bucket Tooth BT-10,74,42920,8
C0018,P009,Starter Motor SM-700,115,1713500,8
C0018,P010,Turbocharger TB-900,67,2338300,5
C0018,P011,Hydraulic Cylinder HC-200,77,2125200,6
C0018,P012,Brake Pad BP-40,48,117600,4
C0018,P013,Seal Kit SK-15,26,37700,2
C0018,P014,Transmission Assembly TA-800,117,9769500,8
C0018,P015,Engine Block EB-600,75,8925000,9
C0018,P016,Radiator RD-250,119,1213800,10
C0018,P017,Fan Belt FB-30,35,18200,4
C0018,P018,Wheel Rim WR-24,61,689300,6
C0018,P019,Swing Motor SWM-350,59,2348200,6
C0018,P020,Pivot Pin PP-12,68,78200,5
C0018,P021,Boom Cylinder BC-400,67,3095400,5
